# timestamp tx ty tz qx qy qz qw
1788506795.505738974 -35.238843282 -60.305605361 0.699738717 0.060629987 0.004116905 0.809139070 0.584466442
1788506795.605580091 -35.254062885 -60.279265066 0.693491461 0.059063195 0.006475258 0.810216790 0.583110936
1788506795.705441952 -35.275741517 -60.255499959 0.696670600 0.056580541 0.003698213 0.809062438 0.584981143
1788506795.805198908 -35.290919141 -60.230913103 0.687379530 0.054926210 0.006322703 0.810684414 0.582866980
1788506795.905049086 -35.309006003 -60.192568785 0.691329939 0.053146625 0.006191145 0.810185784 0.583726050
1788506796.004868031 -35.323988480 -60.158495959 0.694103554 0.051258571 0.008679632 0.810973018 0.582769240
1788506796.104748964 -35.320044041 -60.147677446 0.703415000 0.053155007 0.006929824 0.810231809 0.583653098
1788506796.204547882 -35.342967105 -60.106874054 0.705207074 0.050660034 0.007586849 0.810357971 0.583691665
1788506796.304430962 -35.354067655 -60.082679257 0.710128564 0.052574956 0.003340067 0.808970505 0.585483937
1788506796.404211998 -35.379732441 -60.044196685 0.708889697 0.051223845 0.006523849 0.809989758 0.584166200
1788506796.504103899 -35.375751479 -60.011123274 0.708972619 0.050317735 0.004265434 0.809551676 0.584872649
1788506796.603919983 -35.398547619 -59.975200606 0.702091623 0.049616042 0.005918926 0.810474795 0.583638433
1788506796.703777075 -35.392630923 -59.948897700 0.703042477 0.052540715 0.005859547 0.809853017 0.584245865
1788506796.803599119 -35.410440473 -59.921159220 0.700063804 0.049866594 0.007270007 0.810092367 0.584132542
1788506796.903454065 -35.417617899 -59.895047342 0.707530989 0.051641207 0.004737182 0.808999501 0.585517338
1788506797.003257036 -35.445456651 -59.850917372 0.706112299 0.046582030 0.005924058 0.809172204 0.585692209
1788506797.103063107 -35.453424137 -59.846892215 0.703151923 0.052067770 0.001651026 0.808453632 0.586249901
1788506797.202841043 -35.457469518 -59.825586521 0.702606616 0.050831939 0.003118501 0.809775522 0.584525443
1788506797.302675009 -35.473153925 -59.796481356 0.700712472 0.050813912 0.003357157 0.809321765 0.585153788
1788506797.402457952 -35.481538565 -59.768903558 0.705793603 0.050956691 0.004456650 0.810213251 0.583898999
1788506797.502336979 -35.484089972 -59.736251285 0.686473965 0.049166272 0.006198611 0.809673008 0.584785324
